2023-04-05 16:22:10,745 - INFO - Fold [1/5], Epoch [38/100], Train Loss: 2.1042, Train Acc: 0.3105, Val Loss: 2.0566, Val Acc: 0.2842
2023-04-05 16:22:12,604 - INFO - Fold [1/5], Epoch [39/100], Train Loss: 2.1003, Train Acc: 0.3105, Val Loss: 2.0670, Val Acc: 0.2842
2023-04-05 16:22:14,403 - INFO - Fold [1/5], Epoch [40/100], Train Loss: 2.1045, Train Acc: 0.3105, Val Loss: 2.0803, Val Acc: 0.2842
2023-04-05 16:22:16,190 - INFO - Fold [1/5], Epoch [41/100], Train Loss: 2.1000, Train Acc: 0.3105, Val Loss: 2.0681, Val Acc: 0.2842
2023-04-05 16:22:17,977 - INFO - Fold [1/5], Epoch [42/100], Train Loss: 2.1062, Train Acc: 0.3105, Val Loss: 2.0813, Val Acc: 0.2842
2023-04-05 16:22:19,828 - INFO - Fold [1/5], Epoch [43/100], Train Loss: 2.1046, Train Acc: 0.3105, Val Loss: 2.0652, Val Acc: 0.2842
2023-04-05 16:22:21,628 - INFO - Fold [1/5], Epoch [44/100], Train Loss: 2.1021, Train Acc: 0.3105, Val Loss: 2.0786, Val Acc: 0.2842
2023-04-05 16:22:23,409 - INFO - Fold [1/5], Epoch [45/100], Train Loss: 2.1020, Train Acc: 0.3105, Val Loss: 2.0702, Val Acc: 0.2842
2023-04-05 16:22:25,187 - INFO - Fold [1/5], Epoch [46/100], Train Loss: 2.1046, Train Acc: 0.3105, Val Loss: 2.0616, Val Acc: 0.2842
2023-04-05 16:22:26,972 - INFO - Fold [1/5], Epoch [47/100], Train Loss: 2.1038, Train Acc: 0.3105, Val Loss: 2.0799, Val Acc: 0.2842
2023-04-05 16:22:28,756 - INFO - Fold [1/5], Epoch [48/100], Train Loss: 2.1074, Train Acc: 0.3105, Val Loss: 2.0737, Val Acc: 0.2842
2023-04-05 16:22:30,532 - INFO - Fold [1/5], Epoch [49/100], Train Loss: 2.0977, Train Acc: 0.3105, Val Loss: 2.0766, Val Acc: 0.2842
2023-04-05 16:22:32,306 - INFO - Fold [1/5], Epoch [50/100], Train Loss: 2.0985, Train Acc: 0.3105, Val Loss: 2.0666, Val Acc: 0.2842
2023-04-05 16:22:34,083 - INFO - Fold [1/5], Epoch [51/100], Train Loss: 2.1050, Train Acc: 0.3105, Val Loss: 2.0757, Val Acc: 0.2842
2023-04-05 16:22:35,858 - INFO - Fold [1/5], Epoch [52/100], Train Loss: 2.1030, Train Acc: 0.3105, Val Loss: 2.0791, Val Acc: 0.2842
2023-04-05 16:22:37,638 - INFO - Fold [1/5], Epoch [53/100], Train Loss: 2.1001, Train Acc: 0.3105, Val Loss: 2.0781, Val Acc: 0.2842
2023-04-05 16:22:39,412 - INFO - Fold [1/5], Epoch [54/100], Train Loss: 2.1050, Train Acc: 0.3105, Val Loss: 2.0587, Val Acc: 0.2842
2023-04-05 16:22:41,190 - INFO - Fold [1/5], Epoch [55/100], Train Loss: 2.0946, Train Acc: 0.3105, Val Loss: 2.0853, Val Acc: 0.2842
2023-04-05 16:22:42,967 - INFO - Fold [1/5], Epoch [56/100], Train Loss: 2.1162, Train Acc: 0.3105, Val Loss: 2.0845, Val Acc: 0.2842
2023-04-05 16:22:44,743 - INFO - Fold [1/5], Epoch [57/100], Train Loss: 2.1082, Train Acc: 0.3105, Val Loss: 2.0518, Val Acc: 0.2842
2023-04-05 16:22:46,522 - INFO - Fold [1/5], Epoch [58/100], Train Loss: 2.1089, Train Acc: 0.3105, Val Loss: 2.0897, Val Acc: 0.2842
2023-04-05 16:22:48,307 - INFO - Fold [1/5], Epoch [59/100], Train Loss: 2.1098, Train Acc: 0.3105, Val Loss: 2.0747, Val Acc: 0.2842
2023-04-05 16:22:50,084 - INFO - Fold [1/5], Epoch [60/100], Train Loss: 2.0987, Train Acc: 0.3105, Val Loss: 2.0744, Val Acc: 0.2842
2023-04-05 16:22:51,864 - INFO - Fold [1/5], Epoch [61/100], Train Loss: 2.1007, Train Acc: 0.3105, Val Loss: 2.0771, Val Acc: 0.2842
2023-04-05 16:22:53,640 - INFO - Fold [1/5], Epoch [62/100], Train Loss: 2.1038, Train Acc: 0.3105, Val Loss: 2.0564, Val Acc: 0.2842
2023-04-05 16:22:55,415 - INFO - Fold [1/5], Epoch [63/100], Train Loss: 2.0998, Train Acc: 0.3105, Val Loss: 2.0886, Val Acc: 0.2842
2023-04-05 16:22:57,194 - INFO - Fold [1/5], Epoch [64/100], Train Loss: 2.1062, Train Acc: 0.3105, Val Loss: 2.0746, Val Acc: 0.2842
2023-04-05 16:22:58,968 - INFO - Fold [1/5], Epoch [65/100], Train Loss: 2.1027, Train Acc: 0.3105, Val Loss: 2.0664, Val Acc: 0.2842
2023-04-05 16:23:00,745 - INFO - Fold [1/5], Epoch [66/100], Train Loss: 2.0990, Train Acc: 0.3105, Val Loss: 2.0710, Val Acc: 0.2842
2023-04-05 16:23:02,525 - INFO - Fold [1/5], Epoch [67/100], Train Loss: 2.1014, Train Acc: 0.3105, Val Loss: 2.0838, Val Acc: 0.2842
2023-04-05 16:23:04,308 - INFO - Fold [1/5], Epoch [68/100], Train Loss: 2.1052, Train Acc: 0.3105, Val Loss: 2.0620, Val Acc: 0.2842
